,iters,Total_Runtime,group
0,84200.0,143.05,nearest_L
1,84200.0,142.03,predicted_L
2,101200.0,167.86,nearest_L
3,101200.0,170.54,predicted_L
4,69800.0,118.06,nearest_L
5,69800.0,116.96,predicted_L
6,53300.0,88.21,nearest_L
7,53300.0,88.83,predicted_L
8,240300.0,401.81,nearest_L
9,240300.0,398.11,predicted_L
10,118500.0,199.07,nearest_L
11,118500.0,195.11,predicted_L
12,128300.0,217.11,nearest_L
13,128300.0,216.91,predicted_L
14,97300.0,164.57,nearest_L
15,97300.0,163.42,predicted_L
16,173500.0,285.1,nearest_L
17,173500.0,283.95,predicted_L
18,110200.0,178.81,nearest_L
19,110200.0,181.25,predicted_L
20,80300.0,137.9,nearest_L
21,80300.0,134.49,predicted_L
22,77100.0,131.17,nearest_L
23,77100.0,127.28,predicted_L
24,89300.0,149.29,nearest_L
25,89300.0,146.77,predicted_L
26,114700.0,189.77,nearest_L
27,114700.0,192.77,predicted_L
28,120100.0,201.99,nearest_L
29,120100.0,197.36,predicted_L
30,61900.0,105.2,nearest_L
31,61900.0,103.24,predicted_L
32,83500.0,140.87,nearest_L
33,83500.0,142.58,predicted_L
34,80100.0,134.27,nearest_L
35,80100.0,133.61,predicted_L
36,106800.0,177.52,nearest_L
37,106800.0,177.53,predicted_L
38,114200.0,191.68,nearest_L
39,114200.0,190.46,predicted_L
40,80200.0,134.29,nearest_L
41,80200.0,134.22,predicted_L
42,81000.0,137.09,nearest_L
43,81000.0,139.16,predicted_L
44,82100.0,140.06,nearest_L
45,82100.0,134.97,predicted_L
46,80400.0,134.49,nearest_L
47,80400.0,136.79,predicted_L
48,87600.0,146.59,nearest_L
49,87600.0,147.36,predicted_L
50,97500.0,167.04,nearest_L
51,97500.0,162.79,predicted_L
52,204600.0,338.45,nearest_L
53,204600.0,345.3,predicted_L
54,101500.0,170.84,nearest_L
55,101500.0,169.46,predicted_L
56,107000.0,179.25,nearest_L
57,107000.0,176.67,predicted_L
58,106500.0,176.85,nearest_L
59,106500.0,179.95,predicted_L
60,78600.0,153.2,nearest_L
61,78600.0,146.67,predicted_L
62,71800.0,138.67,nearest_L
63,71800.0,134.31,predicted_L
64,78200.0,152.02,nearest_L
65,78200.0,137.02,predicted_L
66,74200.0,129.51,nearest_L
67,74200.0,132.34,predicted_L
68,65700.0,117.29,nearest_L
69,65700.0,113.97,predicted_L
70,119100.0,217.12,nearest_L
71,119100.0,212.81,predicted_L
72,107000.0,187.33,nearest_L
73,107000.0,189.64,predicted_L
74,88100.0,154.31,nearest_L
75,88100.0,154.1,predicted_L
76,96000.0,171.76,nearest_L
77,96000.0,170.27,predicted_L
78,91100.0,160.79,nearest_L
79,91100.0,163.09,predicted_L
80,99000.0,189.81,nearest_L
81,99000.0,186.6,predicted_L
82,76500.0,144.92,nearest_L
83,76500.0,151.61,predicted_L
84,63400.0,115.62,nearest_L
85,63400.0,111.14,predicted_L
86,111800.0,196.52,nearest_L
87,111800.0,194.33,predicted_L
88,97300.0,170.34,nearest_L
89,97300.0,171.09,predicted_L
90,119400.0,213.27,nearest_L
91,119400.0,210.85,predicted_L
92,105800.0,184.91,nearest_L
93,105800.0,182.97,predicted_L
94,92000.0,163.6,nearest_L
95,92000.0,163.12,predicted_L
96,93600.0,164.48,nearest_L
97,93600.0,164.07,predicted_L
98,171100.0,301.27,nearest_L
99,171100.0,303.75,predicted_L
